analysis_branch,metric,replicate_mean,replicate_sd,fold_level_mean,fold_level_sd
core_only,accuracy,0.6879148572938689,0.03228428839197162,0.6879148572938689,0.06563541330745762
core_only,f1,0.7873174349939132,0.024911578329364203,0.7873174349939132,0.05649861585664737
core_only,mcc,0.24575493815863814,0.06287766632690231,0.24575493815863814,0.12160968002397529
core_only,auroc,0.720064873981124,0.03217394535969516,0.720064873981124,0.07107208495270421
core_only,auprc,0.9331252582566865,0.009655932073166285,0.9331252582566865,0.025818430547437383
core_only,precision,0.9012719545542576,0.016011590638776278,0.9012719545542577,0.04100209945016033
core_only,sensitivity,0.7046921921921923,0.031152914794546807,0.7046921921921923,0.08599452425657846
core_only,specificity,0.6044642857142857,0.05444069876975939,0.6044642857142857,0.1724476539540761
sensplus,accuracy,0.6756818181818182,0.02577608212620336,0.6756818181818182,0.0648631709611081
sensplus,f1,0.7734613681364405,0.01948031632069296,0.7734613681364405,0.05765057329921129
sensplus,mcc,0.25301980365644666,0.06081707056846289,0.25301980365644666,0.11298105254560327
sensplus,auroc,0.7092905405405405,0.0326293843992777,0.7092905405405405,0.061819156290463
sensplus,auprc,0.9248833940962362,0.010204774958753937,0.9248833940962362,0.0241049177935594
sensplus,precision,0.8946754989529838,0.019461665139888874,0.8946754989529838,0.04135407487718733
sensplus,sensitivity,0.6868430930930931,0.02133415490028735,0.6868430930930931,0.08589996341210869
sensplus,specificity,0.625,0.06073908223797188,0.625,0.15243746090505275
