replicate,analysis_branch,n_folds,accuracy_mean,accuracy_sd,f1_mean,f1_sd,mcc_mean,mcc_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd,precision_mean,precision_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd
R02,core_only,4,0.672436575052854,0.05776091560802157,0.775339017124477,0.04516466811121815,0.2282806687659109,0.18494857699386166,0.6922223562848563,0.06541763346703665,0.9274966748767333,0.015628680481394923,0.9032794540229885,0.05127364535222529,0.6824324324324325,0.06778687576508786,0.6116071428571428,0.25015938796646253
R02,sensplus,4,0.6723484848484849,0.06527912098338667,0.7696517412935323,0.05561913146531343,0.2660809315086102,0.12145994484970886,0.6748076201201201,0.050758640736527354,0.9159093911604026,0.02132056144362846,0.9008064516129033,0.041419372517926684,0.6756756756756757,0.08373703942492552,0.65625,0.15728821740147395
R03,core_only,4,0.7414112050739957,0.050229726641841846,0.8276848591549295,0.03966562059122307,0.3554344897877878,0.08823697367648144,0.7667075557700558,0.08288323108922865,0.9417419857396954,0.030476896596129736,0.9243697478991597,0.030347267058852167,0.7511261261261262,0.06209787384223003,0.6919642857142857,0.1248936622521267
R03,sensplus,4,0.7171717171717171,0.04935560678205068,0.8043480028623471,0.0427909979732521,0.35256829422275443,0.03531326610249135,0.745213963963964,0.05769012931832889,0.9293327750472249,0.0245378508256169,0.9208970658970659,0.008648224122187546,0.7165915915915916,0.07173370060076341,0.71875,0.0625
R04,core_only,4,0.6782505285412262,0.08452405444225956,0.7779220779220779,0.08008385003731815,0.23290488087030997,0.08059251453790246,0.7463434416559417,0.05815095327542738,0.9420289579995579,0.01726911250517665,0.898892832995267,0.036191698530407324,0.6978228228228228,0.1335710564194163,0.5892857142857143,0.18785397426261308
R04,sensplus,4,0.6558080808080808,0.07153020157794793,0.7535509364306554,0.07744684551496889,0.23539579755758067,0.11126306330079945,0.7399352477477478,0.07243510305338965,0.9352783898997354,0.02045945934446826,0.8994548984468339,0.0677862513975797,0.6632882882882882,0.13226359030732776,0.625,0.25
R05,core_only,4,0.7248942917547568,0.08048822749640128,0.814126559714795,0.06677800175889857,0.3183903244359153,0.106346673694989,0.7452240186615187,0.04714207049556662,0.941444667719021,0.019562558941048466,0.9142420977011494,0.01754642885302079,0.7381756756756757,0.10165097704571048,0.6517857142857143,0.09392698713130657
R05,sensplus,4,0.6950757575757576,0.05880369203128797,0.7920910155106818,0.050341931044363686,0.25708187153816314,0.09055751449635384,0.7156531531531531,0.02666695746122637,0.9293191000326867,0.00800789081390099,0.8901377688172043,0.025045085889264556,0.7173423423423424,0.0823559087675082,0.59375,0.11967838846954226
R06,core_only,4,0.6667547568710359,0.027986079085300118,0.7729667003413387,0.024212103241562144,0.20925022574757277,0.09331228984655443,0.7223160660660661,0.0828615001298685,0.9352336193856483,0.022729458170029297,0.8935091312510668,0.034560260554840065,0.6824324324324325,0.03884122517255394,0.5892857142857143,0.1472537723434879
R06,sensplus,4,0.67260101010101,0.04394882634158013,0.7735290750915751,0.031321996807481836,0.24575007888201414,0.10723573042535979,0.697072072072072,0.054296159028033565,0.9202474606729736,0.012838743818609846,0.8918650793650793,0.029228015600508438,0.6829954954954955,0.03222913309916396,0.625,0.10206207261596575
R07,core_only,4,0.6836680761099365,0.04167439479454854,0.7822293356997971,0.042414868411285354,0.2725390356807465,0.04442228279998368,0.7438666344916345,0.060902887980775776,0.9384404819055578,0.022499873460406404,0.9130057761523279,0.03467780269764284,0.6897522522522522,0.08231226803234003,0.6607142857142857,0.15838255590059608
R07,sensplus,4,0.6893939393939393,0.026243194054073927,0.7849949070537305,0.0280612664279415,0.2828050499566919,0.09217891924449265,0.7566629129129129,0.04399331604973927,0.9378995938598499,0.014896964200792229,0.9057692307692308,0.042966254870974274,0.6968843843843844,0.06551313054324974,0.65625,0.1875
R08,core_only,4,0.6835359408033826,0.07065257254676795,0.7827437185646141,0.07280006499207539,0.21202845072472015,0.12030284157922314,0.7080551533676533,0.07522593179910883,0.9338430544189984,0.024931623372853377,0.8994753930793975,0.06711932721289876,0.7092717717717718,0.14027106934367023,0.5535714285714286,0.31066638930237833
R08,sensplus,4,0.6830808080808081,0.08685547233292847,0.7752349752349752,0.08774676800397205,0.2669833412791429,0.07183606677697989,0.7011308183183182,0.036997600702391914,0.9282165226332396,0.015614610740361329,0.9012064696275223,0.04185565475282387,0.6953828828828829,0.15013310088389586,0.625,0.22821773229381923
R09,core_only,4,0.7242336152219873,0.016389750092395773,0.8177361275464112,0.015415516355298416,0.293944280180194,0.14565418268075792,0.7252989596739597,0.06772205729201514,0.9367864598380493,0.020280296833945617,0.9133064516129032,0.05930755772287691,0.7447447447447447,0.05298690797944366,0.625,0.25671260301009313
R09,sensplus,4,0.6948232323232323,0.04794589445427958,0.7867947439526506,0.04735637970665382,0.30946769653848916,0.04555393568979149,0.7244275525525525,0.03694862265252416,0.9310468411280438,0.011308071498088485,0.9126571009635526,0.028259653381871287,0.6963213213213213,0.08270647726994193,0.6875,0.125
R10,core_only,4,0.6372885835095138,0.1181273874902086,0.7459759538706907,0.10168374843304656,0.16472702539322417,0.17584673017002733,0.6632145538395539,0.11135153262663516,0.9135366806836033,0.05221744574213194,0.8747947454844006,0.05182828933361782,0.6546546546546547,0.12256489826381185,0.5535714285714286,0.12198750911856666
R10,sensplus,4,0.643560606060606,0.1277610581148076,0.7495594129665154,0.1096108643926489,0.16516756996198684,0.20825374761850035,0.6593233858858859,0.12298605710987018,0.9047908481012313,0.06141186841770283,0.8603490410220109,0.065387754091706,0.6685435435435435,0.13140568915701678,0.53125,0.15728821740147395
,core_only,36,0.6902748414376322,0.0674359664876705,0.7885249277710146,0.05856888159241766,0.2541665979540424,0.12283770004835176,0.723694304423471,0.07219841581177543,0.9345058425074294,0.025399459075768474,0.9038750700220735,0.04195557896610283,0.7056014347681014,0.08974338993755834,0.6140873015873016,0.17827923940943202
,sensplus,36,0.6804292929292929,0.0650225100641926,0.7766394233774071,0.058936165524749375,0.2645889590494926,0.107771380133584,0.7126918585251919,0.06278772714164862,0.9257823247261542,0.02488015957049642,0.8981270118357115,0.041044801898923886,0.6903361695028362,0.08899909363139626,0.6354166666666666,0.15345718341888445
